USRID	RST
141	0.06667809374630451
211	0.3589807078242302
237	0.03897799365222454
242	0.08190963044762611
245	0.0839573722332716
314	0.4423675835132599
369	0.505123645067215
391	0.1297713778913021
510	0.061192192137241364
526	0.06561827473342419
553	0.03393972385674715
555	0.09063984826207161
644	0.036465433426201344
723	0.1059198509901762
738	0.03846384957432747
747	0.05969218909740448
775	0.047049542888998985
780	0.11116459593176842
822	0.05436539091169834
874	0.09891803748905659
913	0.03884074371308088
953	0.2808023691177368
978	0.04860764369368553
1053	0.10024166665971279
1061	0.041810911148786545
1079	0.045409475453197956
1082	0.02570627396926284
1147	0.05339240841567516
1202	0.03195532318204641
1218	0.11007058806717396
1275	0.12556305527687073
1391	0.4617264121770859
1410	0.06389829330146313
1466	0.046661862172186375
1541	0.0850515067577362
1601	0.042967925779521465
1604	0.02494891081005335
1711	0.0367509089410305
1713	0.4409981518983841
1743	0.22745772078633308
1762	0.16826344281435013
1789	0.032982212491333485
1995	0.19740810990333557
2048	0.029008413664996624
2166	0.030052104964852333
2180	0.04345104191452265
2310	0.02671047765761614
2463	0.07465974800288677
2699	0.1395590789616108
2708	0.298791840672493
2726	0.11026543565094471
2766	0.05682937987148762
2777	0.04653605353087187
2820	0.21956895291805267
2821	0.02764672227203846
2852	0.1569516696035862
2891	0.029745069332420826
2968	0.07974099181592464
3006	0.02778527233749628
3068	0.13416551053524017
3137	0.045176124200224876
3239	0.034265099093317986
3241	0.041347553953528404
3368	0.03210867661982775
3477	0.18446586653590202
3501	0.028542988002300262
3517	0.03205126151442528
3760	0.0461132051423192
3776	0.042675718665122986
3829	0.023543933872133493
4011	0.07810921408236027
4058	0.023234947584569454
4062	0.03930649161338806
4205	0.07563621923327446
4206	0.03472697548568249
4257	0.07474499754607677
4284	0.028505542315542698
4332	0.26288921386003494
4353	0.0818379819393158
4373	0.01814165012910962
4375	0.04002308752387762
4408	0.043349139392375946
4472	0.4583667069673538
4533	0.43272434920072556
4572	0.06569023616611958
4726	0.052388192154467106
4873	0.21234799176454544
4920	0.0707978755235672
4968	0.32012179493904114
5035	0.07282002456486225
5184	0.03211365267634392
5242	0.07761409878730774
5271	0.031166893430054188
5296	0.08182577975094318
5300	0.03669615089893341
5334	0.04424421861767769
5347	0.11618900299072266
5432	0.05506099760532379
5492	0.035299147479236126
5550	0.8511377274990082
5603	0.03482482489198446
5631	0.05514804646372795
5632	0.02964419685304165
5634	0.1808922216296196
5782	0.02380231488496065
5795	1.2640891373157501
5900	0.04619911313056946
6332	0.0493313679471612
6339	0.03701007645577192
6383	0.041368450969457626
6546	0.4375370442867279
6575	0.021488523110747337
6754	0.2681109234690666
6848	0.05304600019007921
6872	0.3123255968093872
6875	0.04762178007513285
6896	0.3245445191860199
7030	0.029837054200470448
7080	0.1070293691009283
7088	0.07023832388222218
7107	0.026093865279108286
7268	0.07202673889696598
7418	0.3175443634390831
7433	0.048044647090137005
7457	0.02767756674438715
7535	0.4278511703014374
7985	0.04762513004243374
8027	0.0215482865460217
8078	0.042249673046171665
8084	0.6518538594245911
8108	0.04551627766340971
8162	0.07976270094513893
8176	0.025367690715938807
8180	0.06347470358014107
8186	0.2768182083964348
8203	0.07826543040573597
8215	0.08215716853737831
8228	0.05476648826152086
8370	0.037183389998972416
8419	0.1186029501259327
8420	0.03182241879403591
8439	0.04284109175205231
8563	0.07483157701790333
8642	0.054096950218081474
8757	0.04821152426302433
8831	0.06186722591519356
8884	0.3273363560438156
8906	0.17877746373414993
9051	0.02503435080870986
9073	0.05096759647130966
9101	0.04773817025125027
9146	0.09499311447143555
9171	0.10067306831479073
9223	0.02500753477215767
9231	0.31476692855358124
9277	0.023880418855696917
9349	0.03929012920707464
9392	0.06953519396483898
9429	0.030979931354522705
9435	0.12806671857833862
9457	0.05281322821974754
9463	0.031508954241871834
9488	0.029528942424803972
9518	0.039158753119409084
9571	0.028447368182241917
9635	0.1525198332965374
9654	0.06713968887925148
9717	0.03856975305825472
9758	0.2833961844444275
9806	0.05492967180907726
9831	0.04882407560944557
9862	0.05023807380348444
10019	0.16937586292624474
10043	0.07459208369255066
10178	0.26476627215743065
10653	0.13122861087322235
10670	0.12409041449427605
10673	0.1287145707756281
10738	0.037228960543870926
10795	0.01538870856165886
10796	0.052004375495016575
10838	0.08461946994066238
10839	0.03877366241067648
10853	0.7137640416622162
10934	0.05248104315251112
11002	0.05593281425535679
11011	0.24441005289554596
11120	0.07116591930389404
11123	0.2395096868276596
11143	1.2738142907619476
11144	0.03388292249292135
11189	0.1515137255191803
11194	0.05979972332715988
11197	0.06336901895701885
11245	0.15157221257686615
11256	0.2761353552341461
11267	0.3375094011425972
11334	0.050496998243033886
11389	0.06255821697413921
11416	0.014670643489807844
11433	0.05592880677431822
11449	0.026068931445479393
11459	0.019836322870105505
11528	0.028321661986410618
11543	0.030117076821625233
11598	0.022606193087995052
11611	0.02926856465637684
11620	0.02852926915511489
11700	0.0830285046249628
11728	0.30172358453273773
11764	0.1252405010163784
11808	0.03134316951036453
11846	0.2199207842350006
12222	0.028812477365136147
12332	0.07354802638292313
12388	0.09541604481637478
12400	0.028895516879856586
12416	0.05242161452770233
12478	0.06914637424051762
12488	0.050024437718093395
12545	0.02519246842712164
12565	0.12755966559052467
12622	0.02478312235325575
12691	0.06576886400580406
12714	0.03808320686221123
12791	0.12342774122953415
12793	0.022484944202005863
12802	0.06161633785814047
12805	0.028162145521491766
12905	0.05619950033724308
12958	0.039336223155260086
12969	0.06547346524894238
12997	0.04838056117296219
13008	0.04245390184223652
13102	0.04945909325033426
13238	0.0388697125017643
13256	0.335530549287796
13351	0.047076547518372536
13446	0.04808140080422163
13455	0.129572294652462
13693	0.03570903930813074
13704	0.027487438172101974
13812	0.030238408595323563
14001	0.032055567018687725
14031	0.04153924621641636
14160	0.122111976146698
14181	0.016162522602826357
14420	0.037531678564846516
14517	0.17651735246181488
14524	0.06903897598385811
14562	0.05341510474681854
14595	0.06311027146875858
14743	0.03859510738402605
14779	0.02061184635385871
14782	0.10566895082592964
14832	0.20014597848057747
14895	0.1212666854262352
14917	0.1390247978270054
14933	0.05673333443701267
14962	0.047541623935103416
15012	0.015537040773779154
15102	0.03425957076251507
15103	0.13215427473187447
15156	0.0482976958155632
15182	0.04939851351082325
15185	0.028303613886237144
15233	0.13580825924873352
15349	0.03981777187436819
15379	0.33114827424287796
15399	0.17040536925196648
15413	0.1434299387037754
15470	0.314349465072155
15509	0.02013915404677391
15539	0.14205681160092354
15846	0.09134529903531075
15880	0.14256499335169792
15914	0.1019887626171112
15925	0.060318464413285255
16021	0.10406035743653774
16025	0.1761089786887169
16077	0.02766928682103753
16080	0.036377087235450745
16084	1.018223375082016
16090	0.05424055736511946
16113	0.03748740255832672
16118	0.05815124697983265
16177	0.0556752048432827
16217	0.17638859897851944
16290	0.030082586221396923
16309	0.039349399507045746
16352	0.03168031107634306
16398	0.05971123091876507
16547	0.08933079428970814
16577	0.35620030760765076
16626	0.07489266060292721
16771	0.1889180950820446
16802	0.05051399767398834
16877	0.04364113416522741
16880	0.12324565649032593
16938	0.03302705194801092
16940	0.0575160151347518
16996	0.02603978756815195
17015	0.04575866926461458
17102	0.03575668577104807
17104	0.0798718724399805
17163	0.03863173071295023
17401	0.0490051731467247
17412	0.2663224786520004
17424	0.03640338871628046
17427	0.615344911813736
17428	0.02479693852365017
17435	0.1283680945634842
17466	0.12470928207039833
17494	0.08047257736325264
17602	0.021955236326903105
17717	0.1372750885784626
17867	0.03430410195142031
17886	0.04292986262589693
17893	0.03534536436200142
18005	0.043964740820229053
18144	0.03139392100274563
